Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,203.169998,204.490005,200.649994,201.550003,199.712143,27316700
2019-07-02,201.410004,203.130005,201.360001,202.729996,200.881363,16935200
2019-07-03,203.279999,204.440002,202.690002,204.410004,202.546051,11362000
2019-07-05,203.350006,205.080002,202.899994,204.229996,202.367676,17265500
2019-07-08,200.809998,201.399994,198.410004,200.020004,198.196075,25338600
2019-07-09,199.199997,201.509995,198.809998,201.240005,199.404968,20578000
2019-07-10,201.850006,203.729996,201.559998,203.229996,201.376816,17897100
2019-07-11,203.309998,204.389999,201.710007,201.750000,199.910309,20191800
2019-07-12,202.449997,204.000000,202.199997,203.300003,201.446182,17595200
2019-07-15,204.089996,205.869995,204.000000,205.210007,203.338760,16947400
2019-07-16,204.589996,206.110001,203.500000,204.500000,202.635223,16866800
2019-07-17,204.050003,205.089996,203.270004,203.350006,201.495712,14107500
2019-07-18,204.000000,205.880005,203.699997,205.660004,203.784653,18582200
2019-07-19,205.789993,206.500000,202.360001,202.589996,200.742645,20929300
2019-07-22,203.649994,207.229996,203.610001,207.220001,205.330429,22277900
2019-07-23,208.460007,208.910004,207.289993,208.839996,206.935638,18355200
2019-07-24,207.669998,209.149994,207.169998,208.669998,206.767212,14991600
2019-07-25,208.889999,209.240005,206.729996,207.020004,205.132263,13909600
2019-07-26,207.479996,209.729996,207.139999,207.740005,205.845688,17618900
2019-07-29,208.460007,210.639999,208.440002,209.679993,207.767990,21673400
2019-07-30,208.759995,210.160004,207.309998,208.779999,206.876190,33935700
2019-07-31,216.419998,221.369995,211.300003,213.039993,211.097366,69281400
